tok1,tok2,tok3,tok4,tok5,target
1010,2814,1010,2087,11128,2729
2729,102,101,2031,1996,10717
10717,3619,1997,2017,1012,2005
2005,2115,4122,1010,102,101
101,2115,6114,1999,2023,6203
6203,2705,1010,2017,2089,2004
2004,2092,102,101,4894,2012
2012,1996,6014,2007,2115,2358
2358,21055,2004,6336,2068,102
102,101,2114,1996,3142,2110
2110,1010,3005,2607,2097,2006
2006,102,101,1996,2126,2009
2009,3138,1010,15729,2702,4595
4595,13730,2015,102,101,1997
1997,2062,2844,4957,2004,20824
20824,2084,2064,2412,102,101
101,3711,1999,2115,17727,2098
2098,14428,3372,1012,2005,1996
1996,6203,2705,1010,102,101
101,1996,5932,1010,2025,1996
1996,10717,3619,1010,2191,2009
2009,1010,1998,102,101,2115
2115,5042,2000,2068,1010,2025
2025,2608,1010,2442,2393,1012
1012,21862,3600,1010,102,101
101,2017,2024,9687,2011,10250
10250,10631,3723,102,101,16215
16215,8939,2121,2073,2062,23933
23933,2017,1010,1998,2017,22889
22889,12243,102,101,1996,16254
16254,2015,1051,1005,1996,2110
2110,1010,2040,2729,2005,2017
2017,2066,11397,1010,102,101
101,2043,2017,8364,2068,2004
2004,6716,1012,102,101,102
102,101,2034,6926,1024,102
102,101,2729,2005,2149,999
999,2995,1010,5262,999,2027
2027,11265,1005,9413,8725,2005
2005,2149,102,101,2664,1024
1024,9015,2149,2000,6904,15630
15630,2232,1010,1998,2037,3573
3573,1011,3506,102,101,13675
13675,27479,2007,8982,1025,2191
2191,24754,2015,2005,2149,13098
13098,1010,2000,102,101,2490
2490,2149,27595,2015,1025,21825
21825,3679,2151,2878,14045,2552
2552,102,101,2511,2114,1996
1996,4138,1010,1998,3073,2062
2062,102,101,14628,18574,3679
3679,1010,2000,4677,2039,1998
1998,28467,102,101,1996,3532
3532,1012,2065,1996,5233,4521
4521,2149,2025,2039,1010,2027
2027,2097,1025,1998,102,101
101,2045,1005,1055,2035,1996
1996,2293,2027,4562,2149,1012
1012,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2593,2017,2442,102,101
101,18766,25035,2180,22196,2271
2271,24391,1010,102,101,2030
2030,2022,5496,1997,26272,1012
1012,1045,4618,2425,2017,102
102,101,1037,3492,6925,1024
1024,2009,2089,2022,2017,2031
2031,2657,2009,1025,102,101
101,2021,1010,2144,2009,4240
4240,2026,3800,1010,1045,2097
2097,6957,102,101,2000,26729
26729,1005,1056,1037,2210,2062
2062,1012,102,101,102,101
101,2034,6926,1024,102,101
101,2092,1010,1045,1005,2222
2222,2963,2009,1010,2909,1024
1024,2664,2017,2442,2025,2228
2228,2000,102,101,1042,16429
16429,2125,2256,29591,2007,1037
1037,6925,1024,2021,1010,2019
2019,1005,1056,3531,102,101
101,2017,1010,8116,1012,102
102,101,102,101,2273,18595
18595,2271,1024,102,101,2045
2045,2001,1037,2051,2043,2035
2035,1996,2303,1005,1055,2372
2372,102,101,8443,2140,1005
1005,1040,2114,1996,7579,1010
1010,2947,5496,2009,1024,102
102,101,2008,2069,2066,1037
1037,6084,2009,2106,3961,102
102,101,1045,1005,1996,12930
12930,1051,1005,1996,2303,1010
1010,18373,1998,14477,15277,1010
1010,102,101,2145,25337,2075
2075,1996,3081,4859,1010,2196
2196,7682,102,101,2066,4428
4428,2007,1996,2717,1010,2073
2073,1996,2060,5693,102,101
101,2106,2156,1998,2963,1010
1010,14386,3366,1010,16021,18300
18300,1010,3328,1010,2514,1010
1010,102,101,1998,1010,20271
20271,5589,1010,2106,2704,102
102,101,19662,1996,18923,1998
1998,12242,2691,102,101,1997
1997,1996,2878,2303,1012,1996
1996,7579,3437,1005,1040,1011
1011,1011,102,101,102,101
101,2034,6926,1024,102,101
101,2092,1010,2909,1010,2054
2054,3437,2081,1996,7579,1029
1029,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2909,1010,1045,4618,2425
2425,2017,1012,2007,1037,2785
2785,1997,2868,1010,102,101
101,2029,11265,1005,9413,2234
2234,2013,1996,8948,1010,2021
2021,2130,2947,1011,1011,102
102,101,2005,1010,2298,2017
2017,1010,1045,2089,2191,1996
1996,7579,2868,102,101,2004
2004,2092,2004,3713,1011,1011
1011,2009,29442,2135,3880,102
102,101,2000,1996,27648,2098
2098,2372,1010,1996,14163,25690
25690,2271,3033,102,101,2008
2008,4372,13469,2094,2010,24306
24306,1025,2130,2061,2087,4906
4906,2135,102,101,2004,2017
2017,16007,16206,2256,10153,2005
2005,2008,102,101,2027,2024
2024,2025,2107,2004,2017,1012
1012,102,101,102,101,2034
2034,6926,1024,102,101,2115
2115,7579,1005,1055,3437,1029
1029,2054,999,102,101,1996
1996,2332,2135,1011,10249,2132
2132,1010,1996,6819,20142,4630
4630,3239,1010,102,101,1996
1996,9517,10626,2540,1010,1996
1996,2849,2256,5268,1010,102
102,101,2256,26261,2098,1996
1996,4190,1010,1996,4416,2256
2256,28220,1012,102,101,2007
2007,2060,14163,3490,8163,1998
1998,11612,7126,102,101,1999
1999,2023,2256,8313,1010,2065
2065,2008,2027,1011,1011,102
102,101,102,101,2273,18595
18595,2271,1024,102,101,2054
2054,2059,1029,102,101,1005
1005,18921,2033,1010,2023,3507
3507,8847,999,2054,2059,1029
1029,2054,2059,1029,102,101
101,102,101,2034,6926,1024
1024,102,101,2323,2011,1996
1996,2522,10867,18842,2102,7579
7579,2022,28467,1005,1040,1010
1010,102,101,2040,2003,1996
1996,7752,1051,1005,1996,2303
2303,1010,1011,1011,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,2092,1010
1010,2054,2059,1029,102,101
101,102,101,2034,6926,1024
1024,102,101,1996,2280,6074
6074,1010,2065,2027,2106,17612
17612,1010,102,101,2054,2071
2071,1996,7579,3437,1029,102
102,101,102,101,2273,18595
18595,2271,1024,102,101,1045
1045,2097,2425,2017,102,101
101,2065,2017,1005,2222,2190
2190,5004,1037,2235,1011,1011
1011,1997,2054,2017,2031,2210
2210,1011,1011,102,101,11752
11752,19511,1010,2017,1005,2222
2222,2963,1996,7579,1005,1055
1055,3437,1012,102,101,102
102,101,2034,6926,1024,102
102,101,6300,1005,2128,2146
2146,2055,2009,1012,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,3602,2033
2033,2023,1010,2204,2767,1025
1025,102,101,2115,2087,6542
6542,7579,2001,15063,1010,102
102,101,2025,23438,2066,2010
2010,26960,2869,1010,1998,2947
2947,3437,1005,1040,1024,102
102,101,1005,2995,2003,2009
2009,1010,2026,13265,2814,1010
1010,1005,22035,2705,2002,1010
1010,102,101,1005,2008,1045
1045,4374,1996,2236,2833,2012
2012,2034,1010,102,101,2029
2029,2017,2079,2444,2588,1025
1025,1998,4906,2009,2003,1010
1010,102,101,2138,1045,2572
2572,1996,3573,1011,2160,1998
1998,1996,4497,102,101,1997
1997,1996,2878,2303,1024,2021
2021,1010,2065,2017,2079,3342
3342,1010,102,101,1045,4604
4604,2009,2083,1996,5485,1997
1997,2115,2668,1010,102,101
101,2130,2000,1996,2457,1010
1010,1996,2540,1010,2000,1996
1996,2835,1051,1005,1996,4167
4167,1025,102,101,1998,1010
1010,2083,1996,27987,2015,1998
1998,4822,1997,2158,1010,102
102,101,1996,10473,10627,1998
1998,2235,14092,9607,102,101
101,2013,2033,4374,2008,3019
3019,5566,9407,102,101,13557
13557,2027,2444,1024,1998,2295
2295,2008,2035,2012,2320,1010
1010,102,101,2017,1010,2026
2026,2204,2814,1010,1005,1011
1011,1011,2023,2758,1996,7579
7579,1010,2928,2033,1010,1011
1011,1011,102,101,102,101
101,2034,6926,1024,102,101
101,1037,2100,1010,2909,1025
1025,2092,1010,2092,1012,102
102,101,102,101,2273,18595
18595,2271,1024,102,101,1005
1005,2295,2035,2012,2320,3685
3685,102,101,2156,2054,1045
1045,2079,8116,2041,2000,2169
2169,1010,102,101,2664,1045
1045,2064,2191,2026,15727,2039
2039,1010,2008,2035,102,101
101,2013,2033,2079,2067,4374
4374,1996,13724,1997,2035,1010
1010,102,101,1998,2681,2033
2033,2021,1996,24905,1012,1005
1005,2054,2360,2017,2000,1005
1005,1056,1029,102,101,102
102,101,2034,6926,1024,102
102,101,2009,2001,2019,3437
3437,1024,2129,6611,2017,2023
2023,1029,102,101,102,101
101,2273,18595,2271,1024,102
102,101,1996,10153,1997,4199
4199,2024,2023,2204,7579,1010
1010,102,101,1998,2017,1996
1996,14163,25690,2271,2372,1025
1025,2005,11628,102,101,2037
2037,9517,2015,1998,2037,14977
14977,1010,17886,2477,2157,2135
2135,102,101,7244,1996,2057
2057,2389,1051,1005,1996,2691
2691,1010,2017,4618,2424,102
102,101,2053,2270,5770,2029
2029,2017,4374,102,101,2021
2021,2009,10951,2030,3310,2013
2013,2068,2000,2017,102,101
101,1998,2053,2126,2013,25035
25035,1012,2054,2079,2017,2228
2228,1010,102,101,2017,1010
1010,1996,2307,11756,1997,2023
2023,3320,1029,102,101,102
102,101,2034,6926,1024,102
102,101,1045,1996,2307,11756
11756,999,2339,1996,2307,11756
11756,1029,102,101,102,101
101,2273,18595,2271,1024,102
102,101,2005,2008,1010,2108
2108,2028,1051,1005,1996,7290
7290,1010,7888,2102,1010,3532
3532,4355,1010,102,101,1997
1997,2023,2087,7968,7417,1010
1010,15223,2175,1005,2358,16097
16097,1024,102,101,15223,20710
20710,9289,1010,2008,2396,5409
5409,1999,2668,2000,2448,1010
1010,102,101,2599,1005,2358
2358,2034,2000,2663,2070,27274
27274,1012,102,101,2021,2191
2191,2017,3201,2115,10551,12236
12236,1998,4184,1024,102,101
101,4199,1998,2014,11432,2024
2024,2012,1996,2391,1997,2645
2645,1025,102,101,1996,2028
2028,2217,2442,2031,28352,2063
2063,1012,102,101,16889,1010
1010,7015,7871,4173,999,102
102,101,102,101,7871,4173
4173,1024,102,101,4283,1012
1012,2054,1005,1055,1996,3043
3043,1010,2017,24116,6313,12406
12406,2015,1010,102,101,2008
2008,1010,10137,1996,3532,2009
2009,2818,1997,2115,5448,1010
1010,102,101,2191,25035,8040
8040,7875,2015,1029,102,101
101,102,101,2034,6926,1024
1024,102,101,2057,2031,2412
2412,2115,2204,2773,1012,102
102,101,102,101,7871,4173
4173,1024,102,101,2002,2008
2008,2097,2507,2204,2616,2000
2000,14992,2097,4257,3334,102
102,101,4218,11113,16368,4892
4892,1012,2054,2052,2017,2031
2031,1010,2017,12731,2869,1010
1010,102,101,2008,2066,4496
4496,3521,4496,2162,1029,1996
1996,2028,21358,19699,18743,2015
2015,2017,1010,102,101,1996
1996,2060,3084,2017,7098,1012
1012,2002,2008,20278,2000,2017
2017,1010,102,101,2073,2002
2002,2323,2424,2017,7212,1010
1010,4858,2017,14263,2015,1025
1025,102,101,2073,24623,1010
1010,28519,1024,2017,2024,2053
2053,2469,2099,1010,2053,1010
1010,102,101,2084,2003,1996
1996,5317,1997,2543,2588,1996
1996,3256,1010,102,101,2030
2030,16889,9221,1999,1996,3103
3103,1012,2115,11870,2003,102
102,101,2000,2191,2032,11007
11007,3005,15226,4942,20041,2015
2015,2032,102,101,1998,8364
8364,2008,3425,2106,2009,1012
1012,102,101,2040,17210,2307
2307,2791,102,101,17210,2115
2115,5223,1025,1998,2115,12242
12242,2015,2024,102,101,1037
1037,5305,2158,1005,1055,18923
18923,1010,2040,14714,2087,2008
2008,102,101,2029,2052,3623
3623,2010,4763,1012,2002,2008
2008,9041,102,101,2588,2115
2115,7927,2015,9880,2015,2007
2007,18564,1997,2599,102,101
101,1998,2002,9333,2091,13396
13396,2007,18545,1012,6865,6300
6300,999,3404,6300,1029,102
102,101,2007,2296,3371,2017
2017,2079,2689,1037,2568,1010
1010,102,101,1998,2655,2032
2032,7015,2008,2001,2085,2115
2115,5223,1010,102,101,2032
2032,25047,2008,2001,2115,17017
17017,1012,2054,1005,1055,1996
1996,3043,1010,102,101,2008
2008,1999,2122,2195,3182,1997
1997,1996,2103,102,101,2017
2017,5390,2114,1996,7015,4001
4001,1010,2040,1010,102,101
101,2104,1996,5932,1010,2562
2562,2017,1999,15180,1010,2029
2029,2842,102,101,2052,5438
5438,2006,2028,2178,1029,2054
2054,1005,1055,2037,6224,1029
1029,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2005,9781,2012,2037,2219
2219,6165,1025,2073,11253,1010
1010,2027,2360,1010,102,101
101,1996,2103,2003,2092,8250
8250,1012,102,101,102,101
101,7871,4173,1024,102,101
101,6865,1005,7861,999,2027
2027,2360,999,102,101,2027
2027,1005,2222,4133,2011,1996
1996,2543,1010,1998,3653,23545
23545,2000,2113,102,101,2054
2054,1005,1055,2589,1045,1005
1005,1996,9424,1025,2040,1005
1005,1055,2066,2000,4125,1010
1010,102,101,2040,25220,2015
2015,1998,2040,26451,1025,2217
2217,13815,102,101,1998,2507
2507,2041,102,101,9530,20614
20614,11137,12743,1025,2437,4243
4243,2844,102,101,1998,7408
7408,9709,2107,2004,3233,2025
2025,1999,2037,16663,102,101
101,2917,2037,17176,3709,6007
6007,1012,2027,2360,2045,1005
1005,1055,102,101,8982,2438
2438,999,102,101,2052,1996
1996,11760,3913,4998,2037,7920
7920,1010,102,101,1998,2292
2292,2033,2224,2026,4690,1010
1010,1045,1005,2222,2191,1037
1037,12907,102,101,2007,5190
5190,1997,2122,4284,1005,1040
1040,7179,1010,2004,2152,102
102,101,2004,1045,2071,4060
4060,2026,9993,1012,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,29349,1010
1010,2122,2024,2471,12246,11766
11766,1025,102,101,2005,2295
2295,12990,2135,2027,3768,19258
19258,1010,102,101,2664,2024
2024,2027,4458,16592,2135,1012
1012,2021,1010,1045,2022,19763
19763,2818,2017,1010,102,101
101,2054,2758,1996,2060,10123
10123,1029,102,101,102,101
101,7871,4173,1024,102,101
101,2027,2024,8314,1024,6865
6865,1005,7861,999,102,101
101,2027,2056,2027,2020,2019
2019,1011,7501,1025,6682,1005
1005,1040,5743,6011,15185,2015
2015,1010,102,101,2008,9012
9012,3631,2962,3681,1010,2008
2008,6077,2442,4521,1010,102
102,101,2008,6240,2001,2081
2081,2005,15076,1010,2008,1996
1996,5932,2741,2025,102,101
101,9781,2005,1996,4138,2273
2273,2069,1024,2007,2122,14021
14021,5596,2015,102,101,2027
2027,18834,2098,2037,17949,2015
2015,1025,2029,2108,3437,1005
1005,1040,1010,102,101,1998
1998,1037,9964,4379,2068,1010
1010,1037,4326,2028,1011,1011
1011,102,101,2000,3338,1996
1996,2540,1997,26161,1010,102
102,101,1998,2191,7782,2373
2373,2298,5122,1011,1011,2027
2027,4711,2037,9700,102,101
101,2004,2027,2052,6865,2068
2068,2006,1996,11569,1051,1005
1005,1996,4231,1010,102,101
101,11273,2037,7861,9513,1012
1012,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2054,2003,4379,2068,1029
1029,102,101,102,101,7871
7871,4173,1024,102,101,2274
2274,10969,2015,2000,6985,2037
2037,29364,9866,2015,1010,102
102,101,1997,2037,2219,3601
3601,1024,2028,1005,1055,12022
12022,4173,7987,23998,1010,102
102,101,14387,5498,2271,2310
2310,7630,5809,1010,1998,1045
1045,2113,2025,1011,1011,1005
1005,17371,5243,2705,999,102
102,101,1996,10958,11362,2323
2323,2031,2034,4895,3217,11253
11253,1005,1040,1996,2103,1010
1010,102,101,9413,2063,2061
2061,3653,3567,4014,1005,1040
1040,2007,2033,1024,2009,2097
2097,1999,2051,102,101,2663
2663,2588,2373,1998,5466,5743
5743,3618,6991,102,101,2005
2005,27860,1005,1055,9177,1012
1012,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2023,2003,4326,1012,102
102,101,102,101,7871,4173
4173,1024,102,101,2175,1010
1010,2131,2017,2188,1010,2017
2017,10341,999,102,101,102
102,101,11981,1024,102,101
101,2073,1005,1055,29080,2271
2271,7871,4173,1029,102,101
101,102,101,7871,4173,1024
1024,102,101,2182,1024,2054
2054,1005,1055,1996,3043,1029
1029,102,101,102,101,11981
11981,1024,102,101,1996,2739
2739,2003,1010,2909,1010,1996
1996,18709,9623,2024,1999,2608
2608,1012,102,101,102,101
101,7871,4173,1024,102,101
101,1045,2572,5580,2006,1005
1005,1056,1024,2059,2057,4618
4618,5292,1005,2965,2000,18834
18834,102,101,2256,2442,2100
2100,3565,10258,18518,1012,2156
2156,1010,2256,2190,13376,1012
1012,102,101,102,101,2034
2034,5205,1024,102,101,7871
7871,4173,1010,1005,22320,2995
2995,2008,2017,2031,9906,2409
2409,2149,1025,102,101,1996
1996,18709,9623,2024,1999,2608
2608,1012,102,101,102,101
101,7871,4173,1024,102,101
101,2027,2031,1037,3003,1010
1010,102,101,10722,20159,21200
21200,28173,2271,1010,2008,2097
2097,2404,2017,2000,1005,1056
1056,1012,102,101,1045,8254
8254,1999,21103,2075,2010,11760
11760,1010,102,101,1998,2020
2020,1045,2151,2518,2021,2054
2054,1045,2572,1010,102,101
101,1045,2052,4299,2033,2069
2069,2002,1012,102,101,102
102,101,4012,5498,2271,1024
1024,102,101,2017,2031,4061
4061,2362,1012,102,101,102
102,101,7871,4173,1024,102
102,101,2020,2431,2000,2431
2431,1996,2088,2011,1996,5551
5551,1998,2002,1012,102,101
101,2588,2026,2283,1010,1045
1045,1005,25510,10073,2000,2191
2191,102,101,2069,2026,5233
5233,2007,2032,1024,2002,2003
2003,1037,7006,102,101,2008
2008,1045,2572,7098,2000,5690
5690,1012,102,101,102,101
101,2034,5205,1024,102,101
101,2059,1010,11007,7871,4173
4173,1010,102,101,5463,2588
2588,4012,5498,2271,2000,2122
2122,5233,1012,102,101,102
102,101,4012,5498,2271,1024
1024,102,101,2009,2003,2115
2115,2280,4872,1012,102,101
101,102,101,7871,4173,1024
1024,102,101,2909,1010,2009
2009,2003,1025,102,101,1998
1998,1045,2572,5377,1012,18828
18828,2474,28228,2271,1010,15223
15223,102,101,21146,7096,2156
2156,2033,2320,2062,4894,2012
2012,10722,20159,1005,2227,1012
1012,102,101,2054,1010,2396
2396,15223,10551,1029,3233,1005
1005,2358,2041,1029,102,101
101,102,101,18828,1024,102
102,101,2053,1010,29080,2271
2271,7871,4173,1025,102,101
101,1045,1005,2222,8155,2588
2588,2028,13675,4904,2818,1998
1998,2954,2007,1056,1005,2060
2060,1010,102,101,9413,2063
2063,2994,2369,2023,2449,1012
1012,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,1051,1010,2995,1011,13680
13680,999,102,101,102,101
101,2034,5205,1024,102,101
101,2115,2194,2000,1996,9424
9424,1025,2073,1010,1045,2113
2113,1010,102,101,2256,4602
4602,2814,5463,2149,1012,102
102,101,102,101,18828,1024
1024,102,101,102,101,4012
4012,5498,2271,1024,102,101
101,7015,7871,4173,999,102
102,101,102,101,2034,5205
5205,1024,102,101,102,101
101,7871,4173,1024,102,101
101,29349,1010,2292,2068,3582
3582,1024,102,101,1996,18709
18709,9623,2031,2172,9781,1025
1025,2202,2122,11432,16215,8939
8939,2121,102,101,2000,1043
1043,2532,2860,2037,18661,2015
2015,1012,7425,3993,14163,10196
10196,2869,1010,102,101,2115
2115,11748,8162,8509,2092,5743
5743,1024,11839,1010,3582,1012
1012,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2001,2412,2158,2061,7098
7098,2004,2003,2023,7871,4173
4173,1029,102,101,102,101
101,7987,23998,1024,102,101
101,2002,2038,2053,5020,1012
1012,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2043,2057,2020,4217,10969
10969,2015,2005,1996,2111,1010
1010,1011,1011,102,101,102
102,101,7987,23998,1024,102
102,101,2928,1005,1040,2017
2017,2010,5423,1998,2159,1029
1029,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,29349,1012,2021,2010,19982
19982,7666,1012,102,101,102
102,101,7987,23998,1024,102
102,101,2108,2333,1010,2002
2002,2097,2025,8622,2000,21025
21025,4103,1996,5932,1012,102
102,101,102,101,14387,5498
5498,2271,1024,102,101,2022
2022,1011,12934,1996,10754,4231
4231,1012,102,101,102,101
101,7987,23998,1024,102,101
101,1996,2556,5233,16475,8162
8162,2032,1024,2002,2003,4961
4961,102,101,2205,7098,2000
2000,2022,2061,24329,1012,102
102,101,102,101,14387,5498
5498,2271,1024,102,101,2107
2107,1037,3267,1010,102,101
101,16356,3709,2007,2204,3112
3112,1010,25134,2015,1996,5192
5192,102,101,2029,2002,29449
29449,2015,2006,2012,11501,1024
1024,2021,1045,2079,4687,102
102,101,2010,16021,9890,5897
5897,2064,9566,2000,2022,6311
6311,102,101,2104,4012,5498
5498,2271,1012,102,101,102
102,101,7987,23998,1024,102
102,101,4476,1010,2012,1996
1996,2029,2002,8704,1010,102
102,101,1999,3183,2525,2002
2002,1005,1055,2092,4519,2094
2094,1010,2064,2025,102,101
101,2488,2022,2218,4496,2062
2062,18759,1005,1040,2084,2011
2011,102,101,1037,2173,2917
2917,1996,2034,1024,2005,2054
2054,28616,10010,5134,102,101
101,4618,2022,1996,2236,1005
1005,1055,6346,1010,2295,2002
2002,4685,102,101,2000,1996
1996,27917,1997,1037,2158,1010
1010,1998,21025,14968,8292,3619
3619,5397,102,101,2097,2059
2059,5390,2041,1997,7871,4173
4173,1005,1051,2065,2002,102
102,101,2018,15356,1996,2449
2449,999,1005,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,4661,1010,2065
2065,2477,2175,2092,1010,102
102,101,5448,2008,2061,12668
12668,2006,7871,4173,4618,102
102,101,1997,2010,17183,11124
11124,3215,6487,4012,5498,2271
2271,1012,102,101,102,101
101,7987,23998,1024,102,101
101,2272,1024,102,101,2431
2431,2035,4012,5498,2271,1005
1005,8762,2024,2000,7871,4173
4173,1012,102,101,2295,7871
7871,4173,3687,2068,2025,1010
1010,1998,2035,2010,19399,102
102,101,2000,7871,4173,4618
4618,2022,8762,1010,2295,5262
5262,102,101,1999,15476,11039
11039,2002,7857,2025,1012,102
102,101,102,101,14387,5498
5498,2271,1024,102,101,2292
2292,1005,1055,6516,1010,1998
1998,2963,102,101,2129,1996
1996,18365,2003,2081,1010,1998
1998,1999,2054,4827,1010,102
